time,up_speed,down_speed
17:16:40,66,64
17:16:41,0,0
17:16:42,0,0
17:16:43,9524,322654
17:16:44,2576,7620
17:16:45,0,0
17:16:46,0,0
17:16:47,6192,174798
17:16:48,3378,147850
17:16:50,147,93
17:16:51,171,171
17:16:52,6994,322586
17:16:53,886,156
17:16:54,0,0
17:16:55,7288,322586
17:16:56,0,0
17:16:57,0,0
17:16:58,2412,1304
17:16:59,0,0
17:17:00,66,64
17:17:01,7252,322587
17:17:02,0,0
17:17:03,0,0
17:17:04,0,0
17:17:05,9314,322933
17:17:06,0,0
17:17:07,171,133
17:17:08,66,62
17:17:09,10856,322589
17:17:10,0,0
17:17:11,0,0
17:17:12,0,0
17:17:14,13424,342078
17:17:15,0,0
17:17:16,0,0
17:17:17,0,0
17:17:18,3240,165834
17:17:19,255,201
17:17:20,66,64
17:17:21,0,0
17:17:22,254,312
17:17:23,1116,156870
17:17:24,8056,165939
17:17:25,0,0
17:17:26,132,132
17:17:27,0,0
17:17:28,8314,324332
17:17:29,5299,1594
17:17:30,0,0
17:17:31,9116,329153
17:17:32,3215,38400
17:17:34,10091,332759
17:17:35,6338,4707
17:17:36,2235,5547
17:17:37,929,2626
17:17:38,9160,328183
